Site,Address,latitude,longitude,Phone,Website,Appointment_Required_,Scheduling_Phone_Number,Appointment_Scheduling_Link,Testing_Types,Free_Testing_,Available_to_public_,Patients_,Hours,IDSS,Test_Iowa_Pick_Up,Drop_Off,FID
Hy-Vee Pharmacy #2 (1138),"2540 E. Euclid Avenue, Des Moines, IA 50317",41.627743,-93.5696,(515) 262-2108,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,Yes,(515) 262-2108,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,"PCR, Rapid antigen",PCR free; Rapid antigen prices vary,All members of the public,,"Mon/Wed/Fri 7AM-10AM, Tues & Thurs 7AM-9AM, Sat 8AM-10AM",,,,288
Hy-Vee Pharmacy (1022),"410 N. Ankeny Blvd., Ankeny, IA 50021",41.73458384,-93.60214824,(515) 964-9464,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,Yes,(515) 964-9464,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,PCR,Yes,All members of the public,,Mon-Fri 7a-9am Sat 9a-11am,,,,305
Walgreens Aegis Collection Drive-Thru,"104 E EUCLID AVE, Des Moines, IA 50313",41.62769,-93.61936,(515) 243-0601,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 243-0601,http://www.walgreens.com/coronavirus,Aegis Collection,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,234
Polk County Health Department,"1907 Carpenter Avenue, Des Moines, IA 50314",41.60288448,-93.64327992,(515) 286-3798,,"N/A, At-home test",,,At-home PCR real time,Yes,All members of the public,,Call or visit website for hours of operation,,Yes,,136
DoctorsNow Walk-In Care,"3770 8th St SW, Ste B, Altoona, IA 50009",41.64310259,-93.50739506,(515) 270-1000,DoctorsNow.com,Yes,(515) 270-1000,doctorsnow.com,"Rapid antigen, PCR real time",No,All members of the public,"Symptomatic pediatrics (ages 0-2), Symptomatic pediatrics (ages 2-18), Symptomatic adults, Asymptomatic pediatrics (ages 0-2), Asymptomatic pediatrics (ages 2-18), Asymptomatic adults",Please contact for details,,,,42
Hy-Vee Pharmacy (1873),"1005 East Hickman, Waukee, IA 50263",41.61749181,-93.85372242,(515) 216-2762,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,Yes,(515) 216-2762,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,PCR,Yes,All members of the public,,Mon-Fri 7AM-9AM & Sat 8AM-10AM,,,,254
MercyOne South Urgent Care,"6601 SW 9th St Suite 1, Des Moines, IA 50315",41.524548,-93.62567,(515) 643-9400,https://www.mercyone.org/location/mercyone-south-des-moines-urgent-care-clinic,Yes,(515) 643-9400,https://www.mercyone.org/location/mercyone-south-des-moines-urgent-care-clinic,"PCR, Antigen",No,Patients only,"Symptomatic, Asymptomatic",Please contact for details,,,,116
Walgreens Aegis Collection Drive-Thru,"1660 22ND ST, West Des Moines, IA 50266",41.597355,-93.73616,(515) 223-9699,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 223-9699,http://www.walgreens.com/coronavirus,Aegis Collection,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,231
Hy-Vee Pharmacy (1318),"5750 Merle Hay Rd. Box 9, Johnston, IA 50131",41.66336,-93.69767,(515) 270-9212,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,Yes,(515) 270-9212,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,PCR,Yes,All members of the public,,Tues-Fri 8a-10am,,,,314
Walgreens Abbott IDNOW Drive-Thru,"12753 UNIVERSITY AVE, Clive, IA 50325",41.600418,-93.79319,(515) 226-1786,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 226-1786,http://www.walgreens.com/coronavirus,Abbott IDNOW,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,202
MercyOne Clive Urgent Care,"1601 NW 114th St. Ste 255, Clive, IA 50325",41.605587,-93.77478,(515) 222-7010,https://www.mercyone.org/location/mercyone-clive-urgent-care-clinic,Yes,(515) 222-7010,https://www.mercyone.org/location/mercyone-clive-urgent-care-clinic,"PCR, Antigen",No,Patients only,"Symptomatic, Asymptomatic",Please contact for details,,,,108
Walgreens Aegis Collection Drive-Thru,"2545 E EUCLID AVE, Des Moines, IA 50317",41.62773,-93.569496,(515) 266-3174,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 266-3174,http://www.walgreens.com/coronavirus,Aegis Collection,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,225
Walgreens Abbott IDNOW and AEGIS Drive-Thru,"4415 DOUGLAS AVE, Des Moines, IA 50310",41.6295,-93.678406,(515) 279-4739,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 279-4739,http://www.walgreens.com/coronavirus,Abbott IDNOW and AEGIS,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,186
Walgreens Abbott IDNOW and AEGIS Drive-Thru,"4600 86TH ST, Urbandale, IA 50322",41.64398,-93.73649,(515) 252-7355,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 252-7355,http://www.walgreens.com/coronavirus,Abbott IDNOW and AEGIS,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,177
Pleasant Hill Urgent Care,"5900 E. University Ave. Ste. 100, Pleasant Hill, IA 50327",41.59956369,-93.49248872,(515) 643-2400,https://www.mercyone.org/desmoines/location/mercyone-pleasant-hill-urgent-care-clinic,Yes,(515) 643-2400,https://www.mercyone.org/desmoines/location/mercyone-pleasant-hill-urgent-care-clinic,"PCR, Antigen",No,Patients only,"Symptomatic, Asymptomatic",Please contact for details,,,,134
Walgreens Abbott IDNOW and AEGIS Drive-Thru,"3140 SE 14TH ST, Des Moines, IA 50320",41.55603,-93.59693,(515) 282-5295,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 282-5295,http://www.walgreens.com/coronavirus,Abbott IDNOW and AEGIS,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,183
West Des Moines Health Market 7084,"375 S Jordan Creek Pkwy, West Des Moines, IA 50266",41.56354105,-93.80972074,(515) 216-2796,,Please contact for details,,,Please contact for details,Please contact for details,Please contact for details,,Please contact for details,,,,246
Walgreens Abbott IDNOW Drive-Thru,"3501 INGERSOLL AVE, Des Moines, IA 50312",41.586315,-93.664276,(515) 271-5047,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 271-5047,http://www.walgreens.com/coronavirus,Abbott IDNOW,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,214
Walgreens LabCorp Collection Drive-Thru,"6200 MERLE HAY RD, Johnston, IA 50131",41.673157,-93.697685,(515) 331-0497,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 331-0497,http://www.walgreens.com/coronavirus,Aegis Collection,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,237
Hy-Vee Pharmacy (1887),"1700 Valley West Drive, West Des Moines, IA 50266",41.59736,-93.752014,(515) 225-9330,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,Yes,(515) 225-9330,https://www.hy-vee.com/my-pharmacy/services/covid-19-testing,PCR,Yes,All members of the public,,Mon-Fri 8a-10am,,,,277
Walgreens Abbott IDNOW and AEGIS Drive-Thru,"7000 DOUGLAS AVE, Urbandale, IA 50322",41.62937,-93.71242,(515) 276-4903,http://www.walgreens.com/coronavirus,Appointment preferred,(515) 276-4903,http://www.walgreens.com/coronavirus,Abbott IDNOW and AEGIS,Yes,All members of the public,"Symptomatic, Asymptomatic",Please contact for details,,,,180
Exemplar Care,"7300 Westown Pkwy Suite 330, West Des Moines, IA 50266",41.596916,-93.807785,(515) 650-4370,https://www.exemplar.care/,Yes,(515) 650-4370,https://www.exemplar.care,Please contact for details,No,All members of the public,"Symptomatic pediatrics (ages 0-2), Symptomatic pediatrics (ages 2-18), Symptomatic adults, Asymptomatic pediatrics (ages 0-2), Asymptomatic pediatrics (ages 2-18), Asymptomatic adults",Please contact for details,,,,51
